ID;LONG;LAT;PROF;Globocassidulina;Obs_bin;Obs>1_bin
186;-40,0678;-21,081;1300;48,55504587;1;1
187;-39,8225;-20,6117;1300;64,2484929;1;1
188;-39,7229;-20,2778;1300;51,99647064;1;1
189;-39,3789;-19,8761;1300;52,94146521;1;1
190;-39,0239;-19,7897;1300;49,77741805;1;1
191;-38,5061;-20,0724;1300;30,77508865;1;1
192;-39,629;-21,098;1900;44,91477805;1;1
193;-39,5823;-20,6779;1900;37,18820862;1;1
194;-39,4646;-20,4033;1900;33,79517169;1;1
195;-39,1422;-20,1019;1900;32,25658858;1;1
196;-38,6807;-20,2478;1900;34,10952886;1;1
197;-38,4527;-20,2486;1900;33,73153984;1;1
198;-38,949;-21,1465;2500;15,41159099;1;1
199;-38,9427;-20,896;2500;23,09480754;1;1
200;-38,7355;-20,8054;2500;19,32918848;1;1
201;-38,6632;-20,5605;2500;21,07779008;1;1
202;-38,4448;-20,5704;2500;17,439966;1;1
203;-38,3629;-20,5073;2500;21,86204621;1;1
204;-38,4493;-21,1693;3000;12,3024075;1;1
205;-38,4526;-21,0582;3000;7,965519284;1;1
206;-38,443;-20,9593;3000;18,52951278;1;1
207;-38,3496;-20,8757;3000;19,028152;1;1
208;-38,3111;-20,7589;3000;11,86990363;1;1
209;-38,2788;-20,7309;3000;15,3504366;1;1
210;-40,54222;-21,173484;15;0;0;0
211;-40,5644;-21,27969;16;0;0;0
212;-41,00371;-21,334706;12;0;0;0
213;-40,585457;-21,403082;17;0,552486188;1;0
214;-40,577343;-21,471757;17;0,308641975;1;0
215;-40,551129;-21,552298;16;0;0;0
216;-41,011873;-22,059281;16;10;1;1
217;-40,555038;-22,114622;44;0,328947368;1;0
218;-40,493056;-21,553469;21;0;0;0
219;-40,491805;-21,499342;22;0;0;0
220;-40,489299;-21,391112;22;0;0;0
221;-40,5644;-21,27969;16;0;0;0
222;-40,484352;-21,174889;24;0;0;0
223;-40,425485;-21,121708;16;0;0;0
224;-40,427746;-21,229881;28;0;0;0
225;-40,430282;-21,338115;21;0;0;0
226;-40,486944;-21,28288;21;0;0;0
227;-40,434928;-21,554669;20;0;0;0
228;-40,4376;-22,062913;47;0,37037037;1;0
229;-40,319937;-22,011072;50;0;0;0
230;-40,317641;-21,502749;27;0;0;0
231;-40,315295;-21,394424;27;2,307692308;1;1
232;-40,310955;-21,177875;29;0;0;0
233;-40,254124;-21,246559;33;0;0;0
234;-40,256229;-21,341368;29;0;0;0
235;-40,258473;-21,449619;26;0;0;0
236;-40,260684;-21,557842;48;6,909090909;1;1
237;-40,203641;-22,013049;60;2,181818182;1;1
238;-40,203641;-22,013049;60;0;0;0
239;-40,142214;-21,451587;66;0,340136054;1;0
240;-40,147661;-22,122187;97;0;0;0
241;-45;-24,1;76;7,77;1;1
242;-44,9;-24,4;121;1,53;1;1
243;-44,7;-24,7;156;4,36;1;1
244;-44,6;-25;765;2,88;1;1
